,,,Trigger SOV_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660360176.974801,03:09:36.974801,5711,0.87000000
1660360188.497801,03:09:48.497801,5713,0.58100000
1660360200.721801,03:10:00.721801,5715,0.91100000
1660360212.129801,03:10:12.129801,5717,0.45700000
1660360223.608801,03:10:23.608801,5719,0.34500000
1660360236.211801,03:10:36.211801,5721,0.38300000
1660360248.248801,03:10:48.248801,5723,0.79500000
1660360259.879801,03:10:59.879801,5725,0.59900000
1660360271.285801,03:11:11.285801,5727,0.12700000
1660360283.448801,03:11:23.448801,5729,0.50700000
1660360295.536801,03:11:35.536801,5731,0.56100000
1660360306.822801,03:11:46.822801,5733,0.19500000
1660360318.828801,03:11:58.828801,5735,0.17400000
1660360330.503801,03:12:10.503801,5737,0.08900000
1660360342.928801,03:12:22.928801,5739,0.35500000
1660360355.008801,03:12:35.008801,5741,0.82500000
1660360366.828801,03:12:46.828801,5743,0.70300000
1660360378.284801,03:12:58.284801,5745,0.50200000
1660360390.121801,03:13:10.121801,5747,0.51500000
1660360402.354801,03:13:22.354801,5749,0.65300000
1660360414.044801,03:13:34.044801,5751,0.21300000
1660360425.981801,03:13:45.981801,5753,0.53800000
1660360438.095801,03:13:58.095801,5755,0.93100000
1660360449.817801,03:14:09.817801,5757,0.93200000
1660360461.181801,03:14:21.181801,5759,0.85200000
1660360473.068801,03:14:33.068801,5761,0.76900000
1660360484.518801,03:14:44.518801,5763,0.88100000
1660360495.832801,03:14:55.832801,5765,0.47800000
1660360508.189801,03:15:08.189801,5767,0.96400000
1660360519.560801,03:15:19.560801,5769,0.85000000
1660360530.912801,03:15:30.912801,5771,0.45000000
1660360542.988801,03:15:42.988801,5773,0.85300000
1660360554.220801,03:15:54.220801,5775,0.58500000
1660360565.359801,03:16:05.359801,5777,0.19300000
1660360577.241801,03:16:17.241801,5779,0.48000000
1660360589.213801,03:16:29.213801,5781,0.77900000
1660360600.941801,03:16:40.941801,5783,0.96000000
1660360612.401801,03:16:52.401801,5785,0.81800000
1660360623.941801,03:17:03.941801,5787,0.84600000
1660360635.733801,03:17:15.733801,5789,0.93500000
1660360646.715801,03:17:26.715801,5791,0.68100000
1660360658.325801,03:17:38.325801,5793,0.58700000
1660360669.726801,03:17:49.726801,5795,0.48700000
1660360681.458801,03:18:01.458801,5797,0.81100000
1660360692.606801,03:18:12.606801,5799,0.44900000
1660360703.581801,03:18:23.581801,5801,0.15500000
1660360715.615801,03:18:35.615801,5803,0.48000000
1660360727.467801,03:18:47.467801,5805,0.61100000
1660360739.000801,03:18:59.000801,5807,0.46400000
1660360750.131801,03:19:10.131801,5809,0.12700000
1660360762.453801,03:19:22.453801,5811,0.85500000
1660360773.505801,03:19:33.505801,5813,0.41500000
1660360785.521801,03:19:45.521801,5815,0.66000000
1660360797.300801,03:19:57.300801,5817,0.91900000
1660360808.464801,03:20:08.464801,5819,0.50600000
1660360820.656801,03:20:20.656801,5821,0.93900000
1660360832.178801,03:20:32.178801,5823,0.97200000
1660360843.904801,03:20:43.904801,5825,0.81500000
1660360855.307801,03:20:55.307801,5827,0.92600000
1660360866.710801,03:21:06.710801,5829,0.51700000
1660360878.259801,03:21:18.259801,5831,0.48000000
1660360890.366801,03:21:30.366801,5833,0.93000000
1660360901.531801,03:21:41.531801,5835,0.73000000
1660360912.990801,03:21:52.990801,5837,0.52200000
1660360924.742801,03:22:04.742801,5839,0.74200000
1660360936.341801,03:22:16.341801,5841,0.77100000
1660360947.436801,03:22:27.436801,5843,0.29400000
1660360958.811801,03:22:38.811801,5845,0.22000000
1660360970.693801,03:22:50.693801,5847,0.52800000
1660360982.695801,03:23:02.695801,5849,0.69500000
1660360993.933801,03:23:13.933801,5851,0.34300000
1660361005.810801,03:23:25.810801,5853,0.66900000
1660361017.225801,03:23:37.225801,5855,0.37300000
1660361029.074801,03:23:49.074801,5857,0.58800000
1660361041.160801,03:24:01.160801,5859,0.99100000
1660361052.250801,03:24:12.250801,5861,0.67000000
1660361064.087801,03:24:24.087801,5863,0.81600000
1660361075.544801,03:24:35.544801,5865,0.61300000
1660361086.772801,03:24:46.772801,5867,0.34500000
1660361098.305801,03:24:58.305801,5869,0.23200000
1660361110.817801,03:25:10.817801,5871,0.68700000
1660361123.115801,03:25:23.115801,5873,0.83900000
1660361134.849801,03:25:34.849801,5875,0.36100000
1660361147.582801,03:25:47.582801,5877,0.89700000
1660361159.249801,03:25:59.249801,5879,0.72500000
1660361171.522801,03:26:11.522801,5881,0.72300000
1660361183.523801,03:26:23.523801,5883,0.75200000
1660361196.086801,03:26:36.086801,5885,0.27400000
1660361208.698801,03:26:48.698801,5887,0.88000000
1660361221.580801,03:27:01.580801,5889,0.48600000
1660361234.053801,03:27:14.053801,5891,0.69300000
1660361247.120801,03:27:27.120801,5893,0.95400000
1660361259.723801,03:27:39.723801,5895,0.91200000
1660361272.152801,03:27:52.152801,5897,0.99100000
1660361284.236801,03:28:04.236801,5899,0.66800000
1660361297.079801,03:28:17.079801,5901,0.99900000
1660361309.641801,03:28:29.641801,5903,0.96000000
1660361322.014801,03:28:42.014801,5905,0.54100000
1660361334.745801,03:28:54.745801,5907,0.55300000
1660361347.032801,03:29:07.032801,5909,0.24400000
1660361360.161801,03:29:20.161801,5911,0.57600000
1660361372.387801,03:29:32.387801,5913,0.44000000
1660361385.533801,03:29:45.533801,5915,0.65100000
1660361398.339801,03:29:58.339801,5917,0.97000000
1660361410.549801,03:30:10.549801,5919,0.56900000
1660361422.880801,03:30:22.880801,5921,0.50900000
1660361434.469801,03:30:34.469801,5923,0.16300000
1660361446.618801,03:30:46.618801,5925,0.27500000
1660361459.082801,03:30:59.082801,5927,0.85700000
1660361471.703801,03:31:11.703801,5929,0.58100000
1660361483.673801,03:31:23.673801,5931,0.42500000
1660361496.035801,03:31:36.035801,5933,0.66400000
1660361507.926801,03:31:47.926801,5935,0.38700000
1660361520.087801,03:32:00.087801,5937,0.41400000
1660361532.021801,03:32:12.021801,5939,0.51600000
1660361544.100801,03:32:24.100801,5941,0.93200000
1660361555.518801,03:32:35.518801,5943,0.84300000
1660361567.150801,03:32:47.150801,5945,0.76300000
1660361578.669801,03:32:58.669801,5947,0.46200000
1660361590.204801,03:33:10.204801,5949,0.56200000
1660361602.534801,03:33:22.534801,5951,0.94000000
1660361614.220801,03:33:34.220801,5953,0.76600000
1660361625.949801,03:33:45.949801,5955,0.89400000
1660361637.893801,03:33:57.893801,5957,0.91000000
1660361649.226801,03:34:09.226801,5959,0.93300000
1660361660.787801,03:34:20.787801,5961,0.64200000
1660361672.819801,03:34:32.819801,5963,0.88700000
1660361684.193801,03:34:44.193801,5965,0.48300000
1660361695.752801,03:34:55.752801,5967,0.34800000
1660361707.521801,03:35:07.521801,5969,0.60600000
1660361718.807801,03:35:18.807801,5971,0.15400000
1660361730.863801,03:35:30.863801,5973,0.49500000
1660361742.781801,03:35:42.781801,5975,0.94200000
1660361754.087801,03:35:54.087801,5977,0.60700000
1660361765.521801,03:36:05.521801,5979,0.32700000
1660361777.524801,03:36:17.524801,5981,0.79300000
1660361789.053801,03:36:29.053801,5983,0.72000000
1660361800.501801,03:36:40.501801,5985,0.54400000
1660361812.649801,03:36:52.649801,5987,0.94100000
1660361823.865801,03:37:03.865801,5989,0.55700000
1660361835.592801,03:37:15.592801,5991,0.84200000
1660361847.328801,03:37:27.328801,5993,0.83600000
1660361858.645801,03:37:38.645801,5995,0.47500000
1660361870.289801,03:37:50.289801,5997,0.63800000
1660361881.622801,03:38:01.622801,5999,0.51900000
1660361893.749801,03:38:13.749801,6001,0.77300000
1660361905.319801,03:38:25.319801,6003,0.89600000
1660361916.630801,03:38:36.630801,6005,0.63100000
1660361927.939801,03:38:47.939801,6007,0.40500000
1660361939.363801,03:38:59.363801,6009,0.42100000
1660361951.257801,03:39:11.257801,6011,0.88600000
1660361962.589801,03:39:22.589801,6013,0.41900000
1660361974.282801,03:39:34.282801,6015,0.47900000
1660361986.269801,03:39:46.269801,6017,0.88400000
1660361997.413801,03:39:57.413801,6019,0.41900000
1660362009.508801,03:40:09.508801,6021,0.75400000
1660362020.649801,03:40:20.649801,6023,0.48900000
1660362032.500801,03:40:32.500801,6025,0.93700000
1660362043.735801,03:40:43.735801,6027,0.49300000
1660362055.707801,03:40:55.707801,6029,0.83000000
1660362067.358801,03:41:07.358801,6031,0.95200000
1660362078.646801,03:41:18.646801,6033,0.61700000
1660362090.162801,03:41:30.162801,6035,0.63100000
1660362101.541801,03:41:41.541801,6037,0.57300000
1660362112.976801,03:41:52.976801,6039,0.19800000
1660362124.644801,03:42:04.644801,6041,0.38500000
1660362136.407801,03:42:16.407801,6043,0.63900000
1660362147.659801,03:42:27.659801,6045,0.37200000
1660362159.877801,03:42:39.877801,6047,0.99700000
1660362171.384801,03:42:51.384801,6049,0.84600000
1660362182.772801,03:43:02.772801,6051,0.77500000
1660362193.813801,03:43:13.813801,6053,0.36800000
1660362205.479801,03:43:25.479801,6055,0.73300000
1660362217.383801,03:43:37.383801,6057,0.76400000
1660362228.562801,03:43:48.562801,6059,0.61600000
1660362240.630801,03:44:00.630801,6061,0.84600000
1660362252.345801,03:44:12.345801,6063,0.90000000
1660362264.205801,03:44:24.205801,6065,0.93900000
1660362275.038801,03:44:35.038801,6067,0.54200000
1660362286.324801,03:44:46.324801,6069,0.41000000
1660362297.599801,03:44:57.599801,6071,0.16300000
1660362309.653801,03:45:09.653801,6073,0.44200000
1660362321.170801,03:45:21.170801,6075,0.88900000
1660362332.723801,03:45:32.723801,6077,0.56300000
1660362344.459801,03:45:44.459801,6079,0.55000000
1660362356.065801,03:45:56.065801,6081,0.54300000
1660362367.527801,03:46:07.527801,6083,0.68200000
1660362379.501801,03:46:19.501801,6085,0.86600000
1660362391.108801,03:46:31.108801,6087,0.75000000
1660362402.546801,03:46:42.546801,6089,0.51600000
1660362414.318801,03:46:54.318801,6091,0.85100000
1660362425.744801,03:47:05.744801,6093,0.42300000
1660362437.565801,03:47:17.565801,6095,0.69200000
1660362449.506801,03:47:29.506801,6097,0.99400000
1660362460.522801,03:47:40.522801,6099,0.57600000
1660362472.688801,03:47:52.688801,6101,0.98800000
1660362484.072801,03:48:04.072801,6103,0.90500000
1660362495.579801,03:48:15.579801,6105,0.86100000
1660362507.228801,03:48:27.228801,6107,0.55200000
1660362519.068801,03:48:39.068801,6109,0.95400000
1660362530.542801,03:48:50.542801,6111,0.95900000
1660362542.109801,03:49:02.109801,6113,0.73800000
1660362553.487801,03:49:13.487801,6115,0.87800000
1660362565.336801,03:49:25.336801,6117,0.98400000
1660362576.192801,03:49:36.192801,6119,0.50200000
1660362587.830801,03:49:47.830801,6121,0.38800000
1660362599.995801,03:49:59.995801,6123,0.92400000
1660362611.115801,03:50:11.115801,6125,0.47000000
1660362622.450801,03:50:22.450801,6127,0.20600000
1660362634.295801,03:50:34.295801,6129,0.30100000
1660362645.818801,03:50:45.818801,6131,0.51700000
1660362657.266801,03:50:57.266801,6133,0.19100000
1660362669.053801,03:51:09.053801,6135,0.52100000
1660362681.339801,03:51:21.339801,6137,0.89100000
1660362692.734801,03:51:32.734801,6139,0.73400000
1660362704.639801,03:51:44.639801,6141,0.95600000
1660362715.813801,03:51:55.813801,6143,0.54800000
1660362727.854801,03:52:07.854801,6145,0.86700000
1660362739.463801,03:52:19.463801,6147,0.93100000
1660362751.008801,03:52:31.008801,6149,0.81500000
1660362762.367801,03:52:42.367801,6151,0.48600000
1660362774.401801,03:52:54.401801,6153,0.93400000
1660362785.837801,03:53:05.837801,6155,0.78100000
1660362797.091801,03:53:17.091801,6157,0.40900000
1660362809.235801,03:53:29.235801,6159,0.93800000
1660362820.533801,03:53:40.533801,6161,0.47500000
1660362831.910801,03:53:51.910801,6163,0.18400000
1660362843.751801,03:54:03.751801,6165,0.42400000
1660362855.350801,03:54:15.350801,6167,0.70600000
1660362866.777801,03:54:26.777801,6169,0.68300000
1660362878.410801,03:54:38.410801,6171,0.64000000
1660362890.000801,03:54:50.000801,6173,0.75000000
1660362901.783801,03:55:01.783801,6175,0.94400000
1660362912.941801,03:55:12.941801,6177,0.67300000
1660362925.084801,03:55:25.084801,6179,0.98700000
1660362936.600801,03:55:36.600801,6181,0.99800000
1660362947.834801,03:55:47.834801,6183,0.69900000
1660362959.135801,03:55:59.135801,6185,0.65600000
1660362970.651801,03:56:10.651801,6187,0.21900000
1660362982.446801,03:56:22.446801,6189,0.80800000
1660362993.919801,03:56:33.919801,6191,0.62200000
1660363005.004801,03:56:45.004801,6193,0.21700000
1660363016.448801,03:56:56.448801,6195,0.35000000
1660363027.672801,03:57:07.672801,6197,0.07800000
1660363039.469801,03:57:19.469801,6199,0.15900000
1660363051.366801,03:57:31.366801,6201,0.29700000
1660363062.936801,03:57:42.936801,6203,0.57700000
1660363074.958801,03:57:54.958801,6205,0.77800000
1660363086.115801,03:58:06.115801,6207,0.41100000
1660363098.172801,03:58:18.172801,6209,0.73300000
1660363109.645801,03:58:29.645801,6211,0.68400000
1660363121.312801,03:58:41.312801,6213,0.49200000
1660363133.035801,03:58:53.035801,6215,0.83800000
1660363144.521801,03:59:04.521801,6217,0.45800000
1660363156.390801,03:59:16.390801,6219,0.97600000
1660363168.299801,03:59:28.299801,6221,0.98800000
1660363179.298801,03:59:39.298801,6223,0.52500000
1660363191.217801,03:59:51.217801,6225,0.84800000
1660363202.603801,04:00:02.603801,6227,0.64400000
1660363214.332801,04:00:14.332801,6229,0.56700000
1660363226.135801,04:00:26.135801,6231,0.88500000
1660363237.157801,04:00:37.157801,6233,0.48500000
1660363248.507801,04:00:48.507801,6235,0.34800000
1660363260.269801,04:01:00.269801,6237,0.15500000
1660363272.097801,04:01:12.097801,6239,0.66000000
1660363283.188801,04:01:23.188801,6241,0.24800000
1660363294.832801,04:01:34.832801,6243,0.27100000
1660363306.605801,04:01:46.605801,6245,0.42800000
1660363318.388801,04:01:58.388801,6247,0.62200000
1660363329.577801,04:02:09.577801,6249,0.39200000
1660363341.410801,04:02:21.410801,6251,0.66200000
1660363353.095801,04:02:33.095801,6253,0.67700000
1660363364.348801,04:02:44.348801,6255,0.32300000
1660363376.437801,04:02:56.437801,6257,0.54500000
1660363387.678801,04:03:07.678801,6259,0.48800000
1660363400.006801,04:03:20.006801,6261,0.99600000
1660363410.980801,04:03:30.980801,6263,0.72900000
1660363422.913801,04:03:42.913801,6265,0.91700000
1660363434.178801,04:03:54.178801,6267,0.73100000
1660363445.672801,04:04:05.672801,6269,0.36100000
1660363457.356801,04:04:17.356801,6271,0.59700000
1660363468.956801,04:04:28.956801,6273,0.50500000
1660363480.803801,04:04:40.803801,6275,0.99400000
1660363492.106801,04:04:52.106801,6277,0.75500000
1660363503.858801,04:05:03.858801,6279,0.92200000
1660363515.551801,04:05:15.551801,6281,0.93400000
1660363527.158801,04:05:27.158801,6283,0.84400000
1660363538.139801,04:05:38.139801,6285,0.42700000
1660363550.002801,04:05:50.002801,6287,0.51500000
1660363562.067801,04:06:02.067801,6289,0.97400000
1660363573.295801,04:06:13.295801,6291,0.60600000
1660363584.600801,04:06:24.600801,6293,0.42300000
1660363596.472801,04:06:36.472801,6295,0.72700000
1660363608.227801,04:06:48.227801,6297,0.93900000
1660363619.465801,04:06:59.465801,6299,0.45700000
1660363631.309801,04:07:11.309801,6301,0.81800000
1660363642.607801,04:07:22.607801,6303,0.61000000
1660363654.405801,04:07:34.405801,6305,0.78500000
1660363665.979801,04:07:45.979801,6307,0.94700000
1660363677.671801,04:07:57.671801,6309,0.87000000
1660363689.046801,04:08:09.046801,6311,0.87500000
1660363700.112801,04:08:20.112801,6313,0.45500000
1660363712.244801,04:08:32.244801,6315,0.94400000
1660363723.336801,04:08:43.336801,6317,0.60400000
1660363735.094801,04:08:55.094801,6319,0.81300000
1660363746.789801,04:09:06.789801,6321,0.87000000
1660363758.156801,04:09:18.156801,6323,0.53900000
1660363769.845801,04:09:29.845801,6325,0.35900000
1660363781.242801,04:09:41.242801,6327,0.34800000
1660363793.270801,04:09:53.270801,6329,0.61200000
1660363805.041801,04:10:05.041801,6331,0.94700000
1660363816.396801,04:10:16.396801,6333,0.73800000
1660363827.927801,04:10:27.927801,6335,0.59700000
1660363839.743801,04:10:39.743801,6337,0.96900000
1660363850.977801,04:10:50.977801,6339,0.52800000
1660363862.877801,04:11:02.877801,6341,0.96600000
1660363874.378801,04:11:14.378801,6343,0.92600000
1660363886.009801,04:11:26.009801,6345,0.83500000
1660363897.822801,04:11:37.822801,6347,0.95800000
1660363909.089801,04:11:49.089801,6349,0.75800000
1660363920.571801,04:12:00.571801,6351,0.65400000
1660363932.401801,04:12:12.401801,6353,0.92500000
1660363943.260801,04:12:23.260801,6355,0.54800000
1660363955.234801,04:12:35.234801,6357,0.56600000
1660363966.929801,04:12:46.929801,6359,0.79400000
1660363979.134801,04:12:59.134801,6361,0.92300000
1660363989.919801,04:13:09.919801,6363,0.44600000
1660364002.055801,04:13:22.055801,6365,0.90000000
1660364013.138801,04:13:33.138801,6367,0.60400000
1660364024.549801,04:13:44.549801,6369,0.23600000
1660364036.471801,04:13:56.471801,6371,0.84400000
1660364048.048801,04:14:08.048801,6373,0.61200000
1660364059.621801,04:14:19.621801,6375,0.64500000
1660364071.002801,04:14:31.002801,6377,0.18100000
1660364082.758801,04:14:42.758801,6379,0.57300000
1660364094.795801,04:14:54.795801,6381,0.91400000
1660364106.169801,04:15:06.169801,6383,0.89500000
1660364117.448801,04:15:17.448801,6385,0.49600000
1660364128.676801,04:15:28.676801,6387,0.15700000
1660364140.588801,04:15:40.588801,6389,0.37700000
1660364152.468801,04:15:52.468801,6391,0.75300000
1660364163.547801,04:16:03.547801,6393,0.28100000
1660364175.327801,04:16:15.327801,6395,0.42400000
1660364186.937801,04:16:26.937801,6397,0.39200000
1660364198.559801,04:16:38.559801,6399,0.44300000
1660364210.149801,04:16:50.149801,6401,0.46800000
1660364221.369801,04:17:01.369801,6403,0.25500000
1660364233.203801,04:17:13.203801,6405,0.40200000
1660364245.104801,04:17:25.104801,6407,0.64000000
1660364256.535801,04:17:36.535801,6409,0.44500000
1660364268.526801,04:17:48.526801,6411,0.88500000
1660364280.101801,04:18:00.101801,6413,0.63600000
1660364291.375801,04:18:11.375801,6415,0.44800000
1660364303.304801,04:18:23.304801,6417,0.97100000
1660364314.456801,04:18:34.456801,6419,0.50900000
1660364326.586801,04:18:46.586801,6421,0.96100000
1660364338.069801,04:18:58.069801,6423,0.82900000
1660364349.406801,04:19:09.406801,6425,0.70000000
1660364360.868801,04:19:20.868801,6427,0.62700000
1660364371.996801,04:19:31.996801,6429,0.22200000
1660364384.170801,04:19:44.170801,6431,0.61800000
1660364395.287801,04:19:55.287801,6433,0.31200000
1660364406.691801,04:20:06.691801,6435,0.01400000
1660364418.727801,04:20:18.727801,6437,0.23300000
1660364430.413801,04:20:30.413801,6439,0.67200000
1660364442.633801,04:20:42.633801,6441,0.98500000
1660364453.648801,04:20:53.648801,6443,0.59100000
1660364465.548801,04:21:05.548801,6445,0.76700000
1660364476.882801,04:21:16.882801,6447,0.91100000
1660364488.865801,04:21:28.865801,6449,0.87100000
1660364500.265801,04:21:40.265801,6451,0.91700000
1660364511.613801,04:21:51.613801,6453,0.70000000
1660364523.428801,04:22:03.428801,6455,0.91200000
1660364535.209801,04:22:15.209801,6457,0.98600000
1660364546.358801,04:22:26.358801,6459,0.56100000
1660364558.254801,04:22:38.254801,6461,0.96200000
1660364569.464801,04:22:49.464801,6463,0.96400000
1660364580.849801,04:23:00.849801,6465,0.63500000
1660364592.481801,04:23:12.481801,6467,0.76100000
1660364604.099801,04:23:24.099801,6469,0.65300000
1660364615.930801,04:23:35.930801,6471,0.93300000
1660364627.106801,04:23:47.106801,6473,0.47200000
1660364638.680801,04:23:58.680801,6475,0.42000000
1660364650.540801,04:24:10.540801,6477,0.79300000
1660364661.973801,04:24:21.973801,6479,0.50600000
1660364673.459801,04:24:33.459801,6481,0.48200000
1660364685.471801,04:24:45.471801,6483,0.86400000
1660364697.248801,04:24:57.248801,6485,0.96800000
1660364708.471801,04:25:08.471801,6487,0.58400000
1660364720.265801,04:25:20.265801,6489,0.60500000
1660364731.406801,04:25:31.406801,6491,0.14800000
1660364743.302801,04:25:43.302801,6493,0.56700000
1660364755.324801,04:25:55.324801,6495,0.97700000
1660364766.558801,04:26:06.558801,6497,0.72900000
1660364777.830801,04:26:17.830801,6499,0.54600000
1660364790.027801,04:26:30.027801,6501,0.76400000
1660364801.468801,04:26:41.468801,6503,0.80900000
1660364812.573801,04:26:52.573801,6505,0.41000000
1660364824.169801,04:27:04.169801,6507,0.28300000
1660364836.115801,04:27:16.115801,6509,0.77800000
1660364847.780801,04:27:27.780801,6511,0.89800000
1660364859.084801,04:27:39.084801,6513,0.68600000
1660364870.802801,04:27:50.802801,6515,0.67100000
1660364882.305801,04:28:02.305801,6517,0.89700000
1660364893.587801,04:28:13.587801,6519,0.67500000
1660364905.139801,04:28:25.139801,6521,0.69500000
1660364916.700801,04:28:36.700801,6523,0.38300000
1660364928.367801,04:28:48.367801,6525,0.68400000
1660364940.251801,04:29:00.251801,6527,0.99300000
1660364951.659801,04:29:11.659801,6529,0.80200000
1660364962.688801,04:29:22.688801,6531,0.34400000
1660364974.608801,04:29:34.608801,6533,0.53900000
1660364986.478801,04:29:46.478801,6535,0.81600000
1660364997.492801,04:29:57.492801,6537,0.34000000
1660365009.770801,04:30:09.770801,6539,0.86200000
1660365021.064801,04:30:21.064801,6541,0.83700000
1660365032.784801,04:30:32.784801,6543,0.89900000
1660365044.046801,04:30:44.046801,6545,0.54800000
1660365055.559801,04:30:55.559801,6547,0.70700000
1660365066.999801,04:31:06.999801,6549,0.30200000
1660365078.881801,04:31:18.881801,6551,0.62400000
1660365090.332801,04:31:30.332801,6553,0.56300000
1660365101.812801,04:31:41.812801,6555,0.31200000
1660365113.667801,04:31:53.667801,6557,0.54700000
1660365125.085801,04:32:05.085801,6559,0.48400000
1660365136.985801,04:32:16.985801,6561,0.52400000
1660365148.162801,04:32:28.162801,6563,0.17200000
1660365159.894801,04:32:39.894801,6565,0.30300000
1660365171.544801,04:32:51.544801,6567,0.50900000
1660365182.834801,04:33:02.834801,6569,0.22700000
1660365194.972801,04:33:14.972801,6571,0.69900000
1660365206.368801,04:33:26.368801,6573,0.59000000
1660365217.568801,04:33:37.568801,6575,0.13500000
1660365229.852801,04:33:49.852801,6577,0.81900000
1660365241.168801,04:34:01.168801,6579,0.68100000
1660365253.176801,04:34:13.176801,6581,0.98300000
1660365264.540801,04:34:24.540801,6583,0.67900000
1660365276.276801,04:34:36.276801,6585,0.73300000
1660365287.489801,04:34:47.489801,6587,0.79100000
1660365299.224801,04:34:59.224801,6589,0.71000000
1660365311.029801,04:35:11.029801,6591,0.97900000
1660365322.501801,04:35:22.501801,6593,0.84100000
1660365333.827801,04:35:33.827801,6595,0.78200000
1660365345.775801,04:35:45.775801,6597,0.93100000
1660365357.169801,04:35:57.169801,6599,0.77100000
1660365368.338801,04:36:08.338801,6601,0.32200000
1660365380.440801,04:36:20.440801,6603,0.86100000
1660365391.816801,04:36:31.816801,6605,0.60600000
1660365403.286801,04:36:43.286801,6607,0.73200000
1660365414.731801,04:36:54.731801,6609,0.34900000
1660365426.824801,04:37:06.824801,6611,0.68300000
1660365438.680801,04:37:18.680801,6613,0.92900000
1660365449.851801,04:37:29.851801,6615,0.64900000
1660365461.994801,04:37:41.994801,6617,0.99400000
1660365473.067801,04:37:53.067801,6619,0.54500000
1660365484.916801,04:38:04.916801,6621,0.96700000
1660365496.507801,04:38:16.507801,6623,0.88400000
1660365507.490801,04:38:27.490801,6625,0.61700000
1660365519.546801,04:38:39.546801,6627,0.85100000
1660365531.270801,04:38:51.270801,6629,0.98400000
1660365542.855801,04:39:02.855801,6631,0.99000000
1660365554.531801,04:39:14.531801,6633,0.92700000
1660365565.773801,04:39:25.773801,6635,0.71100000
1660365577.556801,04:39:37.556801,6637,0.72300000
1660365589.220801,04:39:49.220801,6639,0.85500000
1660365600.369801,04:40:00.369801,6641,0.42300000
1660365612.463801,04:40:12.463801,6643,0.84200000
1660365624.101801,04:40:24.101801,6645,0.73000000
1660365635.423801,04:40:35.423801,6647,0.53200000
1660365647.332801,04:40:47.332801,6649,0.91100000
1660365658.523801,04:40:58.523801,6651,0.58200000
1660365669.918801,04:41:09.918801,6653,0.26800000
1660365681.908801,04:41:21.908801,6655,0.76800000
1660365693.539801,04:41:33.539801,6657,0.99800000
1660365705.126801,04:41:45.126801,6659,0.57300000
1660365716.921801,04:41:56.921801,6661,0.99800000
1660365728.412801,04:42:08.412801,6663,0.81700000
1660365739.558801,04:42:19.558801,6665,0.38000000
1660365751.677801,04:42:31.677801,6667,0.94800000
1660365763.245801,04:42:43.245801,6669,0.89000000
1660365774.403801,04:42:54.403801,6671,0.67100000
1660365786.374801,04:43:06.374801,6673,0.98100000
1660365797.908801,04:43:17.908801,6675,0.98700000
1660365808.837801,04:43:28.837801,6677,0.64100000
1660365820.724801,04:43:40.724801,6679,0.74100000
1660365832.252801,04:43:52.252801,6681,0.63400000
1660365843.230801,04:44:03.230801,6683,0.18800000
1660365855.161801,04:44:15.161801,6685,0.65400000
1660365867.380801,04:44:27.380801,6687,0.95400000
1660365878.903801,04:44:38.903801,6689,0.99800000
1660365890.350801,04:44:50.350801,6691,0.91800000
1660365901.947801,04:45:01.947801,6693,0.65700000
1660365913.730801,04:45:13.730801,6695,0.89500000
1660365925.562801,04:45:25.562801,6697,0.99900000
1660365936.741801,04:45:36.741801,6699,0.67400000
1660365948.778801,04:45:48.778801,6701,0.95800000
1660365960.141801,04:46:00.141801,6703,0.81000000
1660365971.666801,04:46:11.666801,6705,0.51600000
1660365983.452801,04:46:23.452801,6707,0.89300000
1660365994.674801,04:46:34.674801,6709,0.46000000
1660366006.256801,04:46:46.256801,6711,0.56100000
1660366018.095801,04:46:58.095801,6713,0.67400000
1660366029.658801,04:47:09.658801,6715,0.67800000
1660366041.674801,04:47:21.674801,6717,0.97200000
1660366053.024801,04:47:33.024801,6719,0.73400000
1660366064.808801,04:47:44.808801,6721,0.77500000
